post_id,date,word,lemma,pos,xpos,lemma_p
1,2010-11-04,Reminder,reminder,NOUN,NN,reminder_NOUN
1,2010-11-04,:,:,PUNCT,:,:_PUNCT
1,2010-11-04,The,the,DET,DT,the_DET
1,2010-11-04,Miss,Miss,PROPN,NNP,Miss_PROPN
1,2010-11-04,Universe,Universe,PROPN,NNP,Universe_PROPN
1,2010-11-04,competition,competition,NOUN,NN,competition_NOUN
1,2010-11-04,will,will,AUX,MD,will_AUX
1,2010-11-04,be,be,AUX,VB,be_AUX
1,2010-11-04,LIVE,live,ADJ,JJ,live_ADJ
1,2010-11-04,from,from,ADP,IN,from_ADP
1,2010-11-04,the,the,DET,DT,the_DET
1,2010-11-04,Bahamas,Bahamas,PROPN,NNP,Bahamas_PROPN
1,2010-11-04,-,-,PUNCT,",",-_PUNCT
1,2010-11-04,Tonight,tonight,NOUN,NN,tonight_NOUN
1,2010-11-04,@,@,ADP,IN,@_ADP
1,2010-11-04,9,9,NUM,CD,9_NUM
1,2010-11-04,pm,p.m.,NOUN,NN,p.m._NOUN
1,2010-11-04,(,(,PUNCT,-LRB-,(_PUNCT
1,2010-11-04,EST,EST,PROPN,NNP,EST_PROPN
1,2010-11-04,),),PUNCT,-RRB-,)_PUNCT
1,2010-11-04,on,on,ADP,IN,on_ADP
1,2010-11-04,NBC,NBC,PROPN,NNP,NBC_PROPN
1,2010-11-04,:,:,PUNCT,:,:_PUNCT
1,2010-11-04,http://tinyurl.com/mrzad9,http://tinyurl.com/mrzad9,PROPN,ADD,http://tinyurl.com/mrzad9_PROPN
2,2013-08-15,@,@,PUNCT,NFP,@_PUNCT
2,2013-08-15,Timc1021,Timc1021,PROPN,NNP,Timc1021_PROPN
2,2013-08-15,Thanks,thanks,NOUN,NN,thanks_NOUN
2,2013-08-15,!,!,PUNCT,.,!_PUNCT
3,2013-06-12,"""","""",PUNCT,``,"""_PUNCT"
3,2013-06-12,"""","""",PUNCT,``,"""_PUNCT"
3,2013-06-12,@_KatherineWebb,@_KatherineWebb,PROPN,NNP,@_KatherineWebb_PROPN
3,2013-06-12,:,:,PUNCT,:,:_PUNCT
3,2013-06-12,Looking,look,VERB,VBG,look_VERB
3,2013-06-12,forward,forward,ADV,RB,forward_ADV
3,2013-06-12,to,to,ADP,IN,to_ADP
3,2013-06-12,#,#,SYM,NN,#_SYM
3,2013-06-12,MissUSA,MissUSA,PROPN,NNP,MissUSA_PROPN
3,2013-06-12,this,this,DET,DT,this_DET
3,2013-06-12,weekend,weekend,NOUN,NN,weekend_NOUN
3,2013-06-12,in,in,ADP,IN,in_ADP
3,2013-06-12,Vegas,Vegas,PROPN,NNP,Vegas_PROPN
3,2013-06-12,!,!,PUNCT,.,!_PUNCT
3,2013-06-12,"""","""",PUNCT,'',"""_PUNCT"
3,2013-06-12,"""","""",PUNCT,'',"""_PUNCT"
3,2013-06-12,Great,great,ADJ,JJ,great_ADJ
3,2013-06-12,to,to,PART,TO,to_PART
3,2013-06-12,have,have,VERB,VB,have_VERB
3,2013-06-12,our,our,PRON,PRP$,our_PRON
3,2013-06-12,former,former,ADJ,JJ,former_ADJ
3,2013-06-12,.,.,PUNCT,.,._PUNCT
3,2013-06-12,Miss,Miss,PROPN,NNP,Miss_PROPN
3,2013-06-12,Alabama,Alabama,PROPN,NNP,Alabama_PROPN
3,2013-06-12,!,!,PUNCT,.,!_PUNCT
4,2011-09-04,Addressing,address,VERB,VBG,address_VERB
4,2011-09-04,the,the,DET,DT,the_DET
4,2011-09-04,Rise,rise,PROPN,NNP,rise_PROPN
4,2011-09-04,of,of,ADP,IN,of_ADP
4,2011-09-04,Chronic,Chronic,ADJ,NNP,Chronic_ADJ
4,2011-09-04,Childhood,Childhood,PROPN,NNP,Childhood_PROPN
4,2011-09-04,Illnesses,Illnesses,PROPN,NNPS,Illnesses_PROPN
4,2011-09-04,.,.,PUNCT,.,._PUNCT
4,2011-09-04,#AGENDA47,#AGENDA47,PROPN,ADD,#AGENDA47_PROPN
5,2020-05-11,RT,RT,PROPN,NNP,RT_PROPN
5,2020-05-11,@darhar981,@darhar981,PROPN,NNP,@darhar981_PROPN
5,2020-05-11,:,:,PUNCT,:,:_PUNCT
5,2020-05-11,Attorney,Attorney,PROPN,NNP,Attorney_PROPN
5,2020-05-11,General,General,PROPN,NNP,General_PROPN
5,2020-05-11,Barr,Barr,PROPN,NNP,Barr_PROPN
5,2020-05-11,’s,'s,PART,POS,'s_PART
5,2020-05-11,Office,Office,PROPN,NNP,Office_PROPN
5,2020-05-11,Shreds,Shreds,PROPN,NNP,Shreds_PROPN
5,2020-05-11,NBC,NBC,PROPN,NNP,NBC_PROPN
5,2020-05-11,’s,'s,PART,POS,'s_PART
5,2020-05-11,Chuck,Chuck,PROPN,NNP,Chuck_PROPN
5,2020-05-11,Todd,Todd,PROPN,NNP,Todd_PROPN
5,2020-05-11,For,for,ADP,IN,for_ADP
5,2020-05-11,‘,',PUNCT,``,'_PUNCT
5,2020-05-11,Deceptive,deceptive,ADJ,JJ,deceptive_ADJ
5,2020-05-11,Editing,editing,NOUN,NN,editing_NOUN
5,2020-05-11,’,',PUNCT,'','_PUNCT
5,2020-05-11,Of,of,ADP,IN,of_ADP
5,2020-05-11,Barr,Barr,PROPN,NNP,Barr_PROPN
5,2020-05-11,’s,'s,PART,POS,'s_PART
5,2020-05-11,Comments,comment,NOUN,NNS,comment_NOUN
5,2020-05-11,On,on,ADP,IN,on_ADP
5,2020-05-11,“,'',PUNCT,``,''_PUNCT
5,2020-05-11,Meet,meet,VERB,VB,meet_VERB
5,2020-05-11,The,the,DET,DT,the_DET
5,2020-05-11,Press,Press,PROPN,NNP,Press_PROPN
