post_id,word,lemma,pos,lemma_p
1,Reminder,reminder,NOUN,reminder_NOUN
1,:,:,PUNCT,:_PUNCT
1,The,the,DET,the_DET
1,Miss,Miss,PROPN,Miss_PROPN
1,Universe,Universe,PROPN,Universe_PROPN
1,competition,competition,NOUN,competition_NOUN
1,will,will,AUX,will_AUX
1,be,be,AUX,be_AUX
1,LIVE,live,VERB,live_VERB
1,from,from,ADP,from_ADP
1,the,the,DET,the_DET
1,Bahamas,Bahamas,PROPN,Bahamas_PROPN
1,-,-,PUNCT,-_PUNCT
1,Tonight,tonight,NOUN,tonight_NOUN
1,@,@,ADP,@_ADP
1,9,9,NUM,9_NUM
1,pm,pm,NOUN,pm_NOUN
1,(,(,PUNCT,(_PUNCT
1,EST,EST,PROPN,EST_PROPN
1,),),PUNCT,)_PUNCT
1,on,on,ADP,on_ADP
1,NBC,NBC,PROPN,NBC_PROPN
1,:,:,PUNCT,:_PUNCT
1,http://tinyurl.com/mrzad9,http://tinyurl.com/mrzad9,URL,http://tinyurl.com/mrzad9_URL
2,@Timc1021,@timc1021,PROPN,@timc1021_PROPN
2,Thanks,thank,NOUN,thank_NOUN
2,!,!,PUNCT,!_PUNCT
3,"""","""",PUNCT,"""_PUNCT"
3,"""","""",PUNCT,"""_PUNCT"
3,@_KatherineWebb,@_KatherineWebb,PROPN,@_KatherineWebb_PROPN
3,:,:,PUNCT,:_PUNCT
3,Looking,look,VERB,look_VERB
3,forward,forward,ADV,forward_ADV
3,to,to,ADP,to_ADP
3,#,#,SYM,#_SYM
3,MissUSA,missusa,NOUN,missusa_NOUN
3,this,this,DET,this_DET
3,weekend,weekend,NOUN,weekend_NOUN
3,in,in,ADP,in_ADP
3,Vegas,Vegas,PROPN,Vegas_PROPN
3,!,!,PUNCT,!_PUNCT
3,"""","""",PUNCT,"""_PUNCT"
3,"""","""",PUNCT,"""_PUNCT"
3, , ,SPACE, _SPACE
3,Great,great,ADJ,great_ADJ
3,to,to,PART,to_PART
3,have,have,VERB,have_VERB
3,our,our,PRON,our_PRON
3,former,former,ADJ,former_ADJ
3,.,.,PUNCT,._PUNCT
3,Miss,Miss,PROPN,Miss_PROPN
3,Alabama,Alabama,PROPN,Alabama_PROPN
3,!,!,PUNCT,!_PUNCT
4,Addressing,address,VERB,address_VERB
4, , ,SPACE, _SPACE
4,the,the,DET,the_DET
4,Rise,rise,NOUN,rise_NOUN
4,of,of,ADP,of_ADP
4,Chronic,Chronic,PROPN,Chronic_PROPN
4,Childhood,Childhood,PROPN,Childhood_PROPN
4,Illnesses,Illnesses,PROPN,Illnesses_PROPN
4,.,.,PUNCT,._PUNCT
4,#,#,SYM,#_SYM
4,AGENDA47,AGENDA47,NOUN,AGENDA47_NOUN
5,RT,RT,PROPN,RT_PROPN
5,@darhar981,@darhar981,PROPN,@darhar981_PROPN
5,:,:,PUNCT,:_PUNCT
5,Attorney,Attorney,PROPN,Attorney_PROPN
5,General,General,PROPN,General_PROPN
5,Barr,Barr,PROPN,Barr_PROPN
5,’s,’s,PART,’s_PART
5,Office,office,NOUN,office_NOUN
5,Shreds,shred,VERB,shred_VERB
5,NBC,NBC,PROPN,NBC_PROPN
5,’s,’s,PART,’s_PART
5,Chuck,Chuck,PROPN,Chuck_PROPN
5,Todd,Todd,PROPN,Todd_PROPN
5,For,for,ADP,for_ADP
5,‘,',PUNCT,'_PUNCT
5,Deceptive,Deceptive,PROPN,Deceptive_PROPN
5,Editing,editing,NOUN,editing_NOUN
5,’,',PUNCT,'_PUNCT
5,Of,of,ADP,of_ADP
5,Barr,Barr,PROPN,Barr_PROPN
5,’s,’s,PART,’s_PART
5,Comments,comment,NOUN,comment_NOUN
5,"
","
",SPACE,"
_SPACE"
5,On,on,ADP,on_ADP
5,“,"""",PUNCT,"""_PUNCT"
5,Meet,Meet,PROPN,Meet_PROPN
5,The,The,PROPN,The_PROPN
