post_id,date,sentence_id,token_id,sentence_text,word,lemma,pos,lemma_p
1,2010-11-04,1,1,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,Reminder,reminder,NOUN,reminder_NOUN
1,2010-11-04,1,2,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,:,:,PUNCT,:_PUNCT
1,2010-11-04,1,3,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,The,the,DET,the_DET
1,2010-11-04,1,4,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,Miss,Miss,PROPN,Miss_PROPN
1,2010-11-04,1,5,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,Universe,Universe,PROPN,Universe_PROPN
1,2010-11-04,1,6,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,competition,competition,NOUN,competition_NOUN
1,2010-11-04,1,7,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,will,will,AUX,will_AUX
1,2010-11-04,1,8,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,be,be,AUX,be_AUX
1,2010-11-04,1,9,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,LIVE,live,VERB,live_VERB
1,2010-11-04,1,10,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,from,from,ADP,from_ADP
1,2010-11-04,1,11,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,the,the,DET,the_DET
1,2010-11-04,1,12,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,Bahamas,Bahamas,PROPN,Bahamas_PROPN
1,2010-11-04,1,13,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,-,-,PUNCT,-_PUNCT
1,2010-11-04,1,14,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,Tonight,tonight,NOUN,tonight_NOUN
1,2010-11-04,1,15,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,@,@,ADP,@_ADP
1,2010-11-04,1,16,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,9,9,NUM,9_NUM
1,2010-11-04,1,17,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,pm,pm,NOUN,pm_NOUN
1,2010-11-04,1,18,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,(,(,PUNCT,(_PUNCT
1,2010-11-04,1,19,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,EST,EST,PROPN,EST_PROPN
1,2010-11-04,1,20,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,),),PUNCT,)_PUNCT
1,2010-11-04,1,21,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,on,on,ADP,on_ADP
1,2010-11-04,1,22,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,NBC,NBC,PROPN,NBC_PROPN
1,2010-11-04,1,23,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,:,:,PUNCT,:_PUNCT
1,2010-11-04,1,24,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @ 9pm (EST) on NBC: http://tinyurl.com/mrzad9,http://tinyurl.com/mrzad9,http://tinyurl.com/mrzad9,PROPN,http://tinyurl.com/mrzad9_PROPN
2,2013-08-15,1,1,@Timc1021,@Timc1021,@timc1021,X,@timc1021_X
2,2013-08-15,2,1,Thanks!,Thanks,thank,NOUN,thank_NOUN
2,2013-08-15,2,2,Thanks!,!,!,PUNCT,!_PUNCT
3,2013-06-12,1,1,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ","""","""",PUNCT,"""_PUNCT"
3,2013-06-12,1,2,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ","""","""",PUNCT,"""_PUNCT"
3,2013-06-12,1,3,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ",@_KatherineWebb,@_KatherineWebb,PROPN,@_KatherineWebb_PROPN
3,2013-06-12,1,4,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ",:,:,PUNCT,:_PUNCT
3,2013-06-12,1,5,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ",Looking,look,VERB,look_VERB
3,2013-06-12,1,6,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ",forward,forward,ADV,forward_ADV
3,2013-06-12,1,7,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ",to,to,ADP,to_ADP
3,2013-06-12,1,8,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ",#,#,SYM,#_SYM
3,2013-06-12,1,9,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ",MissUSA,missusa,NOUN,missusa_NOUN
3,2013-06-12,1,10,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ",this,this,DET,this_DET
3,2013-06-12,1,11,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ",weekend,weekend,NOUN,weekend_NOUN
3,2013-06-12,1,12,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ",in,in,ADP,in_ADP
3,2013-06-12,1,13,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ",Vegas,Vegas,PROPN,Vegas_PROPN
3,2013-06-12,1,14,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ",!,!,PUNCT,!_PUNCT
3,2013-06-12,1,15,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ","""","""",PUNCT,"""_PUNCT"
3,2013-06-12,1,16,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ","""","""",PUNCT,"""_PUNCT"
3,2013-06-12,1,17,"""""@_KatherineWebb: Looking forward to #MissUSA this weekend in Vegas!""""  ", , ,SPACE, _SPACE
